zipcode,cases,date
56760,0,8/6/20
56761,<=5,8/6/20
56762,12,8/6/20
56763,8,8/6/20
54001,0,8/13/20
54002,0,8/13/20
54003,<=5,8/13/20
54004,0,8/13/20
54005,0,8/13/20
54006,0,8/13/20
54007,0,8/13/20
54009,0,8/13/20
54010,0,8/13/20
54011,0,8/13/20
54013,0,8/13/20
54014,0,8/13/20
54015,<=5,8/13/20
54016,0,8/13/20
54017,0,8/13/20
54020,0,8/13/20
54021,0,8/13/20
54022,0,8/13/20
54023,0,8/13/20
54024,0,8/13/20
54025,0,8/13/20
54026,0,8/13/20
54027,0,8/13/20
54028,0,8/13/20
54082,0,8/13/20
54701,0,8/13/20
54703,0,8/13/20
54720,0,8/13/20
54721,0,8/13/20
54722,0,8/13/20
54723,0,8/13/20
54724,0,8/13/20
54725,0,8/13/20
54726,0,8/13/20
54727,0,8/13/20
54728,0,8/13/20
54729,0,8/13/20
54730,0,8/13/20
54731,0,8/13/20
54732,0,8/13/20
54733,0,8/13/20
54734,0,8/13/20
54736,0,8/13/20
54737,0,8/13/20
54738,0,8/13/20
54739,0,8/13/20
54740,0,8/13/20
54741,0,8/13/20
54742,0,8/13/20
54745,0,8/13/20
54746,0,8/13/20
54747,0,8/13/20
54748,0,8/13/20
54749,0,8/13/20
54750,0,8/13/20
54751,0,8/13/20
54754,0,8/13/20
54755,0,8/13/20
54756,0,8/13/20
54757,0,8/13/20
54758,0,8/13/20
54759,0,8/13/20
54760,0,8/13/20
54761,0,8/13/20
54762,0,8/13/20
54763,0,8/13/20
54765,0,8/13/20
54766,0,8/13/20
54767,0,8/13/20
54768,0,8/13/20
54769,0,8/13/20
54770,0,8/13/20
54771,0,8/13/20
54772,0,8/13/20
54773,0,8/13/20
54801,0,8/13/20
54805,0,8/13/20
54806,0,8/13/20
54810,0,8/13/20
54812,0,8/13/20
54813,0,8/13/20
54814,0,8/13/20
54817,0,8/13/20
54819,0,8/13/20
54820,0,8/13/20
54821,0,8/13/20
54822,0,8/13/20
54824,0,8/13/20
